,Title,Time,Content,Link,Date
10,America Begins To See The Consequences Of The Past Policy Errors That Helped China's Rise,2019-05-25T14:32:23-04:00,"From the South China Sea to the Indian Ocean and the African Continent, China is rising fast, challenging America’s long dominance.That’s something investors should watch closely, as rising tensions between the world’s two largest economies raise geopolitical risks that begin to spread beyond trade. China’s rise didn’t happen by accident. It occurred systematically, helped by the kindness of the previous US administrations that allowed China to launch and execute its grand strategy. That’s according to a recently published Council of Foreign Affairs special report, which argues that US administrations, from President Clinton to President Obama, misread China’s strategic intentions on several fronts; and made optimistic statements about US-China relations.  While these presidents were making such optimistic statements over a nearly twenty-year period, China implemented a grand strategy under Xi Jinping; used geoeconomic tools to coerce its neighbors and others, including most recently though the Belt and Road Initiative (BRI); violated international commercial practices, including by committing massive theft of U.S. intellectual property; manipulated its currency for trade benefits; threatened Taiwan; build up its military forces to push the United States beyond Japan and the Philippines; constructed and militarized artificial islands in the South China Sea, in violation of the international law. . . and patiently and incrementally built its power and influence with the strategic goal of challenging the United States as the primary power in Asia. One of the errors of previous administrations in South Asia was the failure to assure Asian allies that America would come to their side in case they were attacked by China, as has been argued by foreign policy experts for quite some-time. Ely Ratner of the Center for American Security, for instance, has been calling for America to abandon its neutrality in the South China Sea region by supplementing diplomacy with military assurances. In ‘The Stealth Superpower: How China Hid Its Global Ambitions,’ published in the January/February issue of Foreign Affairs, he says the US “should supplement diplomacy with deterrence by warning China that if it continues, the United States will abandon its neutrality and help countries in the region defend their claims. Washington should make it clear that it can live with an uneasy stalemate in Asia—but not with Chinese hegemony.” Ted Bauman, a senior research analyst and economist at Banyan Hill Publishing, agrees that US administrations played a role in accommodating China’s rise. But it wasn’t an act of kindness. “Successive U.S. governments have played a critical role in creating the modern Chinese economy, above all the Clinton administration's assistance to get China into the WTO,” says Bauman. “But they didn't do that out of the goodness of their hearts. They did it as part of a broader shift in the nature of the U.S. political economy — which in turn contributed to our trade deficit with China.” Like what he calls “post-New Deal social compact,” a system that allowed America to cope with the wage stagnation of the 1980s and the 1980s. Opening up the American economy to China allowed American workers to “have access to low-cost Chinese wage goods,” like electronics, appliances, clothing furniture and so on. This would mitigate the stagnation of real wages,” says Bauman.” Then there was easy credit that allowed Americans to live beyond their means, which placed American wage earners at the core of America’s merchandise deficit with China, according to Bauman. “A nation runs trade deficits when its consumption spending exceeds the value of goods and services it produces,” explains Bauman. “By using money borrowed from the owners of capital to buy Chinese goods before they have earned the wages that will ultimately pay for them, U.S. wage earners are at the heart of our merchandise trade deficit with China.”  The bottom line: US policies accommodating China’s rise in the last twenty years may look like a policy error today, but they looked like an opportunity back then, when these policies were launched. US policies confronting China today look like an opportunity, how will they look in the next twenty years?",https://www.forbes.com/sites/panosmourdoukoutas/2019/05/25/america-begins-to-see-the-consequences-of-the-past-policy-errors-that-helped-chinas-rise/,2019-05-25 14:32:23-04:00
11,"If Interest Rates Fall, How Far Could They Fall? 6 Yields Charts",2019-05-25T13:52:53-04:00,,https://www.forbes.com/sites/johnnavin/2019/05/25/if-interest-rates-fall-how-far-could-they-fall-6-yields-charts/,2019-05-25 13:52:53-04:00
12,Why Tech Brands You Know Do Badly After Going Public,2019-05-25T10:52:48-04:00,,https://www.forbes.com/sites/petercohan/2019/05/25/why-tech-brands-you-know-do-badly-after-going-public/,2019-05-25 10:52:48-04:00
13,"Amazon Turns Shopping Malls Into Warehouses, Changing America's Community Landscape",2019-05-25T09:08:41-04:00,,https://www.forbes.com/sites/panosmourdoukoutas/2019/05/25/amazon-turns-shopping-malls-into-warehouses-changing-americas-community-landscape/,2019-05-25 09:08:41-04:00
14,Will The Rekindled Trade War Cause Another Stock Market Crash?,2019-05-25T10:53:22-04:00,,https://www.forbes.com/sites/jeffcamarda/2019/05/24/will-the-rekindled-trade-war-cause-another-stock-market-crash/,2019-05-25 10:53:22-04:00
15,Litecoin Climbs 16% To Reach Highest Since Mid-May,2019-05-24T17:48:39-04:00,,https://www.forbes.com/sites/cbovaird/2019/05/24/litecoin-climbs-16-to-reach-highest-since-mid-may/,2019-05-24 17:48:39-04:00
16,8 Major Ways The SECURE Act Could Impact Your Retirement Plan,2019-05-24T17:11:42-04:00,,https://www.forbes.com/sites/jamiehopkins/2019/05/24/8-major-ways-the-secure-act-could-impact-your-retirement-plan/,2019-05-24 17:11:42-04:00
17,Are Any Of The 'Nifty 50' Stocks Still Nifty?,2019-05-24T16:59:47-04:00,,https://www.forbes.com/sites/investor/2019/05/24/are-any-of-the-nifty-50-stocks-still-nifty/,2019-05-24 16:59:47-04:00
18,"How Did NetApp Fare In Q4, And What Can We Expect From Fiscal 2020?",2019-05-24T14:23:03-04:00,,https://www.forbes.com/sites/greatspeculations/2019/05/24/how-did-netapp-fare-in-q4-and-what-can-we-expect-from-fiscal-2020/,2019-05-24 14:23:03-04:00
19,Buy Facebook And AMD When They Are Cheap,2019-05-24T18:22:25-04:00,,https://www.forbes.com/sites/kenkam/2019/05/24/buy-facebook-and-amd-when-they-are-cheap/,2019-05-24 18:22:25-04:00
20,What Is Intel's Fair Price Estimate Based On Expected 2019 Earnings?,2019-05-24T13:57:03-04:00,,https://www.forbes.com/sites/greatspeculations/2019/05/24/what-is-intels-fair-price-estimate-based-on-expected-2019-earnings/,2019-05-24 13:57:03-04:00
21,Earnings Preview: What To Expect From Workday On Tuesday,2019-05-24T14:59:47-04:00,,https://www.forbes.com/sites/adamsarhan/2019/05/24/earnings-preview-workday-on-tuesday-2/,2019-05-24 14:59:47-04:00
22,Endeavor Gets 'Speculative' Credit Rating Prior To IPO,2019-05-24T18:40:25-04:00,,https://www.forbes.com/sites/mikeozanian/2019/05/24/endeavor-gets-speculative-credit-rating-prior-to-ipo/,2019-05-24 18:40:25-04:00
23,Analysts Predict 11% Upside For The Holdings Of The iShares S&P 500 Growth ETF,2019-05-24T09:36:02-04:00,,https://www.forbes.com/sites/etfchannel/2019/05/24/analysts-predict-11-upside-for-the-holdings-of-the-ishares-sp-500-growth-etf/,2019-05-24 09:36:02-04:00
24,Panicked Investors Flee China Amid Trade War Worries,2019-05-24T11:16:13-04:00,,https://www.forbes.com/sites/simonconstable/2019/05/24/panicked-investors-flee-china-amid-trade-war-worries/,2019-05-24 11:16:13-04:00
25,Market Looks To Regain Some Ground After Trump Statement On Huawei,2019-05-24T10:53:39-04:00,,https://www.forbes.com/sites/jjkinahan/2019/05/24/market-looks-to-regain-some-ground-after-trump-statement-on-huawei/,2019-05-24 10:53:39-04:00
26,"A Closer Look At Avon's Global Operations, And What's In It For Natura",2019-05-24T10:49:03-04:00,,https://www.forbes.com/sites/greatspeculations/2019/05/24/a-closer-look-at-avons-global-operations-and-whats-in-it-for-natura/,2019-05-24 10:49:03-04:00
27,The End Of Risk-Free Retirement,2019-05-24T10:49:56-04:00,,https://www.forbes.com/sites/johnmauldin/2019/05/24/the-end-of-risk-free-retirement/,2019-05-24 10:49:56-04:00
28,Digital Channel Drives Urban Outfitters' Growth In Q1,2019-05-24T10:37:03-04:00,,https://www.forbes.com/sites/greatspeculations/2019/05/24/digital-channel-drives-urban-outfitters-growth-in-q1/,2019-05-24 10:37:03-04:00
29,Peek Under The Hood: The iShares U.S. Financials ETF Has 10% Upside,2019-05-24T09:35:02-04:00,,https://www.forbes.com/sites/etfchannel/2019/05/24/peek-under-the-hood-the-ishares-u-s-financials-etf-has-10-upside/,2019-05-24 09:35:02-04:00
30,The SPDR S&P 400 Mid Cap Growth ETF's Holdings Could Mean 13% Gain Potential,2019-05-24T09:30:02-04:00,,https://www.forbes.com/sites/etfchannel/2019/05/24/the-spdr-sp-400-mid-cap-growth-etfs-holdings-could-mean-13-gain-potential-2/,2019-05-24 09:30:02-04:00
31,Feeding The World With Plastic,2019-05-24T08:01:02-04:00,,https://www.forbes.com/sites/erikkobayashisolomon/2019/05/24/feeding-the-world-with-plastic/,2019-05-24 08:01:02-04:00
32,"Buffett's Betting on Oil, and He's Rarely Wrong",2019-05-24T07:27:29-04:00,,https://www.forbes.com/sites/georgeschultze/2019/05/24/buffetts-betting-on-oil-and-hes-rarely-wrong/,2019-05-24 07:27:29-04:00
33,Oil Set For Worst Week For 2019; Gold Still  Below 1300,2019-05-24T05:45:32-04:00,,https://www.forbes.com/sites/naeemaslam/2019/05/24/oil-set-for-worst-week-for-the-year-gold-still-below-1300/,2019-05-24 05:45:32-04:00
34,"Lowe's Revenue Beats Consensus, Growth On Track For FY 2019?",2019-05-23T15:52:02-04:00,,https://www.forbes.com/sites/greatspeculations/2019/05/23/lowes-revenue-beats-consensus-growth-on-track-for-fy-2019/,2019-05-23 15:52:02-04:00
35,The Good And The Bad Of Job Automation,2019-05-23T16:50:19-04:00,,https://www.forbes.com/sites/patrickwwatson/2019/05/23/the-good-and-the-bad-of-job-automation/,2019-05-23 16:50:19-04:00
36,What Is AMD's Fair Price Estimate Based On Expected 2019 Earnings?,2019-05-23T15:21:02-04:00,,https://www.forbes.com/sites/greatspeculations/2019/05/23/what-is-amds-fair-price-estimate-based-on-expected-2019-earnings/,2019-05-23 15:21:02-04:00
37,Revenue Falls As Tata Motors Ends FY 2019,2019-05-23T14:54:03-04:00,,https://www.forbes.com/sites/greatspeculations/2019/05/23/revenue-falls-as-tata-motors-ends-fy-2019/,2019-05-23 14:54:03-04:00
38,Bitcoin Shows Strength By Bouncing Back After Breather,2019-05-23T15:34:19-04:00,,https://www.forbes.com/sites/cbovaird/2019/05/23/bitcoin-shows-strength-by-bouncing-back-after-breather/,2019-05-23 15:34:19-04:00
39,Mr. Wonderful's Top 10 Dividend Stocks,2019-05-23T14:14:25-04:00,,https://www.forbes.com/sites/moneyshow/2019/05/23/mr-wonderfuls-top-10-dividend-stocks/,2019-05-23 14:14:25-04:00
40,Escalating U.S.-China Trade War Makes LNG Projects Vulnerable Stateside,2019-05-23T14:17:40-04:00,,https://www.forbes.com/sites/gauravsharma/2019/05/23/escalating-us-china-trade-war-leaves-lng-projects-vulnerable-stateside/,2019-05-23 14:17:40-04:00
41,Do Not Doubt Trump's Tariffs On All 'Made In China' Goods,2019-05-23T13:53:08-04:00,,https://www.forbes.com/sites/kenrapoza/2019/05/23/do-not-doubt-trumps-tariffs-on-all-made-in-china-goods/,2019-05-23 13:53:08-04:00
42,Explaining The Big Tesla Sell Off,2019-05-23T12:30:03-04:00,,https://www.forbes.com/sites/greatspeculations/2019/05/23/explaining-the-big-tesla-sell-off/,2019-05-23 12:30:03-04:00
43,Why ETF Investors Have A China Problem,2019-05-23T12:19:02-04:00,,https://www.forbes.com/sites/robisbitts2/2019/05/23/why-etf-investors-have-a-china-problem/,2019-05-23 12:19:02-04:00
44,Federal Reserve Balance Sheet Strategy,2019-05-23T12:16:16-04:00,,https://www.forbes.com/sites/investor/2019/05/23/federal-reserve-balance-sheet-strategy/,2019-05-23 12:16:16-04:00
45,Why Now's The Time To Bet On European Stocks,2019-05-23T11:00:15-04:00,,https://www.forbes.com/sites/simonconstable/2019/05/23/why-nows-the-time-to-bet-on-european-stocks/,2019-05-23 11:00:15-04:00
46,Cost To Insure Against Tesla Bond Default Hits Record High,2019-05-23T10:46:28-04:00,,https://www.forbes.com/sites/petercohan/2019/05/23/cost-to-insure-against-tesla-bond-default-hits-record-high/,2019-05-23 10:46:28-04:00
47,The iShares Russell Mid-Cap Growth ETF's Holdings Imply 10% Gain Potential,2019-05-23T08:05:02-04:00,,https://www.forbes.com/sites/etfchannel/2019/05/23/the-ishares-russell-mid-cap-growth-etfs-holdings-imply-10-gain-potential/,2019-05-23 08:05:02-04:00
48,"Brexit Back: As UK Election Takes Place, Fears Rise Again While China Talks Still Stalled",2019-05-23T10:22:02-04:00,,https://www.forbes.com/sites/jjkinahan/2019/05/23/brexit-back-as-uk-election-takes-place-fears-rise-again-while-china-talks-still-stalled/,2019-05-23 10:22:02-04:00
49,The iShares Core Dividend Growth ETF's Underlying Holdings Could Mean 10% Gain Potential,2019-05-23T08:04:01-04:00,,https://www.forbes.com/sites/etfchannel/2019/05/23/the-ishares-core-dividend-growth-etfs-underlying-holdings-could-mean-10-gain-potential/,2019-05-23 08:04:01-04:00
50,Who Will Win The China-US Showdown Over Rare Earth Metals?,2019-05-23T08:21:51-04:00,,https://www.forbes.com/sites/garthfriesen/2019/05/23/who-will-win-in-the-china-us-showdown-over-rare-earth-metals/,2019-05-23 08:21:51-04:00
51,Add Up The Parts: The First Trust US Equity Opportunities ETF Could Be Worth $83,2019-05-23T08:03:02-04:00,,https://www.forbes.com/sites/etfchannel/2019/05/23/add-up-the-parts-the-first-trust-us-equity-opportunities-etf-could-be-worth-83/,2019-05-23 08:03:02-04:00
52,BHP Group: Trade War Winner,2019-05-23T08:52:41-04:00,,https://www.forbes.com/sites/greatspeculations/2019/05/23/bhp-group-trade-war-winner/,2019-05-23 08:52:41-04:00
53,Bitcoin: Institutions Are All Over It,2019-05-23T06:39:53-04:00,,https://www.forbes.com/sites/naeemaslam/2019/05/23/bitcoin-institutions-are-all-over-it/,2019-05-23 06:39:53-04:00
54,These Growth Stocks Could Gush Higher In June (Including This FTSE 100 Giant). Get Stuck In!,2019-05-23T02:36:03-04:00,,https://www.forbes.com/sites/roystonwild/2019/05/23/these-growth-stocks-could-gush-higher-in-june-including-this-ftse-100-giant-get-stuck-in/,2019-05-23 02:36:03-04:00
55,"Housing Market Health? Look At These Five Indicators, Not Existing Home Sales",2019-05-23T08:24:46-04:00,,https://www.forbes.com/sites/johntobey/2019/05/23/housing-market-health-look-at-these-five-indicators-not-existing-home-sales/,2019-05-23 08:24:46-04:00
56,Soft Agriculture Segment Showing Waters Down Deere's Fiscal Q2 Results,2019-05-23T03:01:30-04:00,,https://www.forbes.com/sites/greatspeculations/2019/05/23/soft-agriculture-segment-showing-waters-down-deeres-fiscal-q2-results/,2019-05-23 03:01:30-04:00
57,"Sluggish PC Demand, Trade War Concerns Would Have Hurt HP's Fiscal Q2 Results",2019-05-23T02:52:03-04:00,,https://www.forbes.com/sites/greatspeculations/2019/05/23/sluggish-pc-demand-trade-war-concerns-would-have-hurt-hps-fiscal-q2-results/,2019-05-23 02:52:03-04:00
58,Did HP Enterprise Lose Ground To Cloud Competitors In Fiscal Q2?,2019-05-23T02:40:52-04:00,,https://www.forbes.com/sites/greatspeculations/2019/05/23/did-hp-enterprise-lose-ground-to-cloud-competitors-in-fiscal-q2/,2019-05-23 02:40:52-04:00
59,"Sina Likely To Report Forgettable Q1 Results, But Revenues Should Recover Sharply In The Near Future",2019-05-23T02:32:09-04:00,,https://www.forbes.com/sites/greatspeculations/2019/05/23/sina-likely-to-report-forgettable-q1-results-but-revenues-should-recover-sharply-in-the-near-future/,2019-05-23 02:32:09-04:00
60,China Wants To Apply The Duterte Model To Settle South China Sea Disputes With Malaysia,2019-05-23T02:10:15-04:00,,https://www.forbes.com/sites/panosmourdoukoutas/2019/05/23/china-wants-to-apply-the-duterte-model-to-settle-south-china-sea-disputes-with-malaysia/,2019-05-23 02:10:15-04:00
61,2 Trucking Stocks For Sale Below Book Value: With Earnings And Dividends,2019-05-22T22:48:16-04:00,,https://www.forbes.com/sites/johnnavin/2019/05/22/2-trucking-stocks-for-sale-below-book-value-with-earnings-and-dividends/,2019-05-22 22:48:16-04:00
62,3 Tariff-Proof Dividends Set To Soar 64%+,2019-05-23T10:10:05-04:00,,https://www.forbes.com/sites/brettowens/2019/05/22/3-tariff-proof-dividends-set-to-soar-64/,2019-05-23 10:10:05-04:00
63,"Home Depot Beats Consensus, Will Growth Continue For FY 2019?",2019-05-22T13:54:03-04:00,,https://www.forbes.com/sites/greatspeculations/2019/05/22/home-depot-beats-consensus-will-growth-continue-for-fy-2019/,2019-05-22 13:54:03-04:00
64,What To Expect From Best Buy's Fiscal Q1?,2019-05-22T13:36:04-04:00,,https://www.forbes.com/sites/greatspeculations/2019/05/22/what-to-expect-from-best-buys-fiscal-q1/,2019-05-22 13:36:04-04:00
65,How Is Medtronic Likely To Have Fared In Q4 Fiscal 2019?,2019-05-22T13:02:03-04:00,,https://www.forbes.com/sites/greatspeculations/2019/05/22/how-is-medtronic-likely-to-have-fared-in-q4-fiscal-2019/,2019-05-22 13:02:03-04:00
66,"How Did Nvidia Fare In Q1, And What Can We Expect From Fiscal 2020?",2019-05-22T12:29:03-04:00,,https://www.forbes.com/sites/greatspeculations/2019/05/22/how-did-nvidia-fare-in-q1-and-what-can-we-expect-from-fiscal-2020/,2019-05-22 12:29:03-04:00
67,Should You Invest In Annuities?,2019-05-22T14:26:27-04:00,,https://www.forbes.com/sites/jeffcamarda/2019/05/22/should-you-invest-in-annuities/,2019-05-22 14:26:27-04:00
68,"Trade War Update: China Throwing More Lifelines, Apple In Trouble",2019-05-23T10:25:24-04:00,,https://www.forbes.com/sites/kenrapoza/2019/05/22/trade-war-update-china-throws-more-lifelines-apple-in-trouble/,2019-05-23 10:25:24-04:00
69,The Weakening Of Big Bank Regulations Under Trump Is The Seed For The Next Financial Crisis,2019-05-22T19:22:56-04:00,,https://www.forbes.com/sites/mayrarodriguezvalladares/2019/05/22/the-weakening-of-big-bank-regulations-under-trump-is-the-seed-for-the-next-financial-crisis/,2019-05-22 19:22:56-04:00
70,"How To Unrig The Gold Market, According To GATA's Chris Powell",2019-05-22T11:56:48-04:00,,https://www.forbes.com/sites/greatspeculations/2019/05/22/how-to-unrig-the-gold-market-according-to-gatas-chris-powell/,2019-05-22 11:56:48-04:00
71,India's Narendra Modi Locked In For Second Term,2019-05-22T18:55:39-04:00,,https://www.forbes.com/sites/kenrapoza/2019/05/22/indias-narendra-modi-locked-in-for-second-term/,2019-05-22 18:55:39-04:00
72,3 Most Compelling Reasons To Bet Tesla Stock Could Plunge 95%,2019-05-22T10:01:30-04:00,,https://www.forbes.com/sites/petercohan/2019/05/22/3-most-compelling-reasons-to-bet-tesla-stock-could-plunge-95/,2019-05-22 10:01:30-04:00
73,This Ultra-Cheap Stock Could Be About To Start Paying Dividends. Time To Buy!,2019-05-22T09:44:58-04:00,,https://www.forbes.com/sites/roystonwild/2019/05/22/this-ultra-cheap-stock-could-be-about-to-start-paying-dividends-time-to-buy/,2019-05-22 09:44:58-04:00
74,"Retail Rampage: Earnings From Big Stores Dominate Picture, With Guidance Cuts A Concern",2019-05-22T09:31:25-04:00,,https://www.forbes.com/sites/jjkinahan/2019/05/22/retail-rampage-earnings-from-big-stores-dominate-picture-with-guidance-cuts-a-concern/,2019-05-22 09:31:25-04:00
75,Intelligent Capital Allocation - Focus on ROIC - Drives Outperformance,2019-05-22T09:20:18-04:00,,https://www.forbes.com/sites/greatspeculations/2019/05/22/intelligent-capital-allocation-focus-on-roic-drives-outperformance/,2019-05-22 09:20:18-04:00
76,We Did The Math: The iShares Core S&P U.S. Growth ETF Can Go To $67,2019-05-22T07:42:02-04:00,,https://www.forbes.com/sites/etfchannel/2019/05/22/we-did-the-math-the-ishares-core-sp-u-s-growth-etf-can-go-to-67/,2019-05-22 07:42:02-04:00
77,"""Remainers"" Getting Clobbered In European Parliamentary Elections",2019-05-23T10:52:37-04:00,,https://www.forbes.com/sites/kenrapoza/2019/05/22/remainers-getting-clobbered-in-european-parliamentary-elections/,2019-05-23 10:52:37-04:00
78,"Capital Pours Into PE Funds, Fueled By An Increasingly Popular Exit, The Secondary Market",2019-05-22T10:07:06-04:00,,https://www.forbes.com/sites/antoinedrean/2019/05/22/capital-pours-into-pe-funds-fueled-by-an-increasingly-popular-exit-the-secondary-market/,2019-05-22 10:07:06-04:00
79,Two Brilliant Dividend Stocks You Should Buy Before June,2019-05-22T07:34:27-04:00,,https://www.forbes.com/sites/roystonwild/2019/05/22/two-brilliant-dividend-stocks-you-should-buy-before-june/,2019-05-22 07:34:27-04:00
80,The Secret Tax Loophole That High Earners Use To Help Their Children Financially,2019-05-22T10:14:56-04:00,,https://www.forbes.com/sites/megangorman/2019/05/22/the-secret-tax-loophole-that-high-earners-use-to-help-their-children-financially/,2019-05-22 10:14:56-04:00
81,Why Is There No Shine In Gold Price?,2019-05-22T05:41:36-04:00,,https://www.forbes.com/sites/naeemaslam/2019/05/22/why-is-there-no-shine-in-gold-price/,2019-05-22 05:41:36-04:00
82,Five Things To Watch Out For In The Markets Today,2019-05-22T05:11:13-04:00,,https://www.forbes.com/sites/naeemaslam/2019/05/22/five-things-to-watch-out-for-in-the-markets-today/,2019-05-22 05:11:13-04:00
83,Australia: Liberals Defy Election Expectations With Come-From-Behind Victory,2019-05-21T17:18:25-04:00,,https://www.forbes.com/sites/markrosenberg/2019/05/21/australia-liberals-defy-election-expectations-with-come-from-behind-victory/,2019-05-21 17:18:25-04:00
84,"These ""Crash-Proof"" CEFs Crush Stocks And Pay Dividends Up To 7%",2019-05-21T12:24:02-04:00,,https://www.forbes.com/sites/michaelfoster/2019/05/21/these-crash-proof-cefs-crush-stocks-and-pay-dividends-up-to-7/,2019-05-21 12:24:02-04:00
85,"Sprint & T-Mobile: FCC Green Lights Merger, Will Justice Department Follow Suit?",2019-05-21T14:43:02-04:00,,https://www.forbes.com/sites/greatspeculations/2019/05/21/sprint-t-mobile-fcc-green-lights-merger-will-justice-department-follow-suit/,2019-05-21 14:43:02-04:00
86,Will Lowe's Revenue Grow In Q1 2019?,2019-05-21T14:30:02-04:00,,https://www.forbes.com/sites/greatspeculations/2019/05/21/will-lowes-revenue-grow-in-q1-2019/,2019-05-21 14:30:02-04:00
87,What Factors Will Impact NetApp's Q4 Fiscal 2019 Earnings?,2019-05-21T14:15:02-04:00,,https://www.forbes.com/sites/greatspeculations/2019/05/21/what-factors-will-impact-netapps-q4-fiscal-2019-earnings/,2019-05-21 14:15:02-04:00
88,Can Target Beat Estimates In Q1?,2019-05-21T13:33:04-04:00,,https://www.forbes.com/sites/greatspeculations/2019/05/21/can-target-beat-estimates-in-q1/,2019-05-21 13:33:04-04:00
89,Policy Initiatives To Trigger Massive Growth Of Renewable Energy In China,2019-05-21T14:10:01-04:00,,https://www.forbes.com/sites/gauravsharma/2019/05/21/policy-initiatives-to-trigger-massive-growth-of-renewable-energy-in-china/,2019-05-21 14:10:01-04:00
90,Market Bubbles Are Forming Now: Here's How To Spot Them,2019-05-21T14:11:38-04:00,,https://www.forbes.com/sites/brendancoffey/2019/05/21/market-bubbles-are-forming-now-heres-how-to-spot-them/,2019-05-21 14:11:38-04:00
91,Don't Sweat This Airline Stock's Turbulence,2019-05-21T13:35:27-04:00,,https://www.forbes.com/sites/greatspeculations/2019/05/21/dont-sweat-this-airline-stocks-turbulence/,2019-05-21 13:35:27-04:00
92,Fed's Former Chief Bank Regulator Warns Crisis Amnesia Raises Financial Risks,2019-05-21T12:45:33-04:00,,https://www.forbes.com/sites/pedrodacosta/2019/05/21/feds-former-chief-bank-regulator-warns-crisis-amnesia-raises-financial-risks/,2019-05-21 12:45:33-04:00
93,5 Dividend Aristocrats Where Analysts See Capital Gains,2019-05-21T08:22:02-04:00,,https://www.forbes.com/sites/etfchannel/2019/05/21/5-dividend-aristocrats-where-analysts-see-capital-gains-35/,2019-05-21 08:22:02-04:00
94,Consensus 2019: More Suits And Fewer Costumes,2019-05-21T11:38:06-04:00,,https://www.forbes.com/sites/naeemaslam/2019/05/21/consensus-2019-more-suits-and-fewer-costumes/,2019-05-21 11:38:06-04:00
95,Capitalism vs Climate Change: Front Line Interview I,2019-05-21T11:14:08-04:00,,https://www.forbes.com/sites/erikkobayashisolomon/2019/05/21/capitalism-vs-climate-change-front-line-interview-i/,2019-05-21 11:14:08-04:00
96,How The Pieces Add Up: The SPDR Portfolio Large Cap ETF Headed For $37,2019-05-21T08:21:02-04:00,,https://www.forbes.com/sites/etfchannel/2019/05/21/how-the-pieces-add-up-the-spdr-portfolio-large-cap-etf-headed-for-37/,2019-05-21 08:21:02-04:00
97,Winning Restaurant Stocks For 2019,2019-05-21T11:43:16-04:00,,https://www.forbes.com/sites/kenberman/2019/05/21/winning-restaurant-stocks-for-2019/,2019-05-21 11:43:16-04:00
98,Implied Vanguard Growth ETF Analyst Target Price: $176,2019-05-21T08:00:05-04:00,,https://www.forbes.com/sites/etfchannel/2019/05/21/implied-vanguard-growth-etf-analyst-target-price-176/,2019-05-21 08:00:05-04:00
99,Copper Cycles Point To A July Low,2019-05-21T09:53:38-04:00,,https://www.forbes.com/sites/greatspeculations/2019/05/21/copper-cycles-point-to-a-july-low/,2019-05-21 09:53:38-04:00
100,Turnaround Tuesday? Market Looks More Upbeat After Administration Eases Slightly,2019-05-21T09:25:55-04:00,,https://www.forbes.com/sites/jjkinahan/2019/05/21/turnaround-tuesday-market-looks-more-upbeat-after-administration-eases-slightly/,2019-05-21 09:25:55-04:00
101,Analysts See 12% Upside For The Holdings Of The iShares Russell 1000 Value ETF,2019-05-21T11:44:22-04:00,,https://www.forbes.com/sites/etfchannel/2019/05/21/analysts-see-12-upside-for-the-holdings-of-the-ishares-russell-1000-value-et/,2019-05-21 11:44:22-04:00
102,Netflix Has 175 Days Left To Pull Off A Miracle... Or It's All Over,2019-05-22T10:21:44-04:00,,https://www.forbes.com/sites/stephenmcbride1/2019/05/21/netflix-has-175-days-left-to-pull-off-a-miracle-or-its-all-over/,2019-05-22 10:21:44-04:00
103,There Is Only One Way Mauricio Macri Is Reelected In Argentina,2019-05-22T11:29:43-04:00,,https://www.forbes.com/sites/kenrapoza/2019/05/21/there-is-only-one-way-mauricio-macri-is-re-elected-in-argentina/,2019-05-22 11:29:43-04:00
